#     1_Threshold      2_Threshold         3_True_P         4_True_N        5_False_P        6_False_N      7_Precision         8_Recall       9_Accuracy      10_Fall_Out   11_Sensitivity     12_F_Measure 
# ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  
             0.01             0.35              487              384              120                9         0.802306         0.981855         0.871000         0.238095         0.981855         0.883046
             0.01             0.36              487              389              115                9         0.808970         0.981855         0.876000         0.228175         0.981855         0.887067
             0.01             0.37              487              392              112                9         0.813022         0.981855         0.879000         0.222222         0.981855         0.889498
             0.01             0.38              487              399              105                9         0.822635         0.981855         0.886000         0.208333         0.981855         0.895221
             0.01             0.39              487              408               96                9         0.835334         0.981855         0.895000         0.190476         0.981855         0.902688
             0.01             0.40              487              413               91                9         0.842561         0.981855         0.900000         0.180556         0.981855         0.906890
             0.01             0.41              487              421               83                9         0.854386         0.981855         0.908000         0.164683         0.981855         0.913696
             0.01             0.42              487              428               76                9         0.865009         0.981855         0.915000         0.150794         0.981855         0.919736
             0.01             0.43              487              433               71                9         0.872760         0.981855         0.920000         0.140873         0.981855         0.924099
             0.01             0.44              487              435               69                9         0.875899         0.981855         0.922000         0.136905         0.981855         0.925856
             0.01             0.45              487              441               63                9         0.885455         0.981855         0.928000         0.125000         0.981855         0.931166
             0.01             0.46              487              445               59                9         0.891941         0.981855         0.932000         0.117063         0.981855         0.934741
             0.01             0.47              487              449               55                9         0.898524         0.981855         0.936000         0.109127         0.981855         0.938343
             0.01             0.48              486              451               53               10         0.901670         0.979839         0.937000         0.105159         0.979839         0.939130
             0.01             0.49              485              453               51               11         0.904851         0.977823         0.938000         0.101190         0.977823         0.939922
             0.01             0.50              485              456               48               11         0.909944         0.977823         0.941000         0.095238         0.977823         0.942663
             0.01             0.51              483              458               46               13         0.913043         0.973790         0.941000         0.091270         0.973790         0.942439
             0.01             0.52              482              460               44               14         0.916350         0.971774         0.942000         0.087302         0.971774         0.943249
             0.01             0.53              482              463               41               14         0.921606         0.971774         0.945000         0.081349         0.971774         0.946026
             0.01             0.54              479              468               36               17         0.930097         0.965726         0.947000         0.071429         0.965726         0.947577
             0.01             0.55              479              472               32               17         0.937378         0.965726         0.951000         0.063492         0.965726         0.951341
             0.01             0.56              474              478               26               22         0.948000         0.955645         0.952000         0.051587         0.955645         0.951807
             0.01             0.57              471              480               24               25         0.951515         0.949597         0.951000         0.047619         0.949597         0.950555
             0.01             0.58              470              482               22               26         0.955285         0.947581         0.952000         0.043651         0.947581         0.951417
             0.01             0.59              470              484               20               26         0.959184         0.947581         0.954000         0.039683         0.947581         0.953347
             0.01             0.60              467              485               19               29         0.960905         0.941532         0.952000         0.037698         0.941532         0.951120
             0.01             0.61              463              489               15               33         0.968619         0.933468         0.952000         0.029762         0.933468         0.950719
             0.01             0.62              462              492               12               34         0.974684         0.931452         0.954000         0.023810         0.931452         0.952577
             0.01             0.63              460              492               12               36         0.974576         0.927419         0.952000         0.023810         0.927419         0.950413
             0.01             0.64              459              493               11               37         0.976596         0.925403         0.952000         0.021825         0.925403         0.950311
             0.01             0.65              456              498                6               40         0.987013         0.919355         0.954000         0.011905         0.919355         0.951983
             0.01             0.66              452              498                6               44         0.986900         0.911290         0.950000         0.011905         0.911290         0.947589
             0.01             0.67              447              498                6               49         0.986755         0.901210         0.945000         0.011905         0.901210         0.942044
             0.01             0.68              443              498                6               53         0.986637         0.893145         0.941000         0.011905         0.893145         0.937566
             0.01             0.69              441              499                5               55         0.988789         0.889113         0.940000         0.009921         0.889113         0.936306
             0.01             0.70              439              500                4               57         0.990971         0.885081         0.939000         0.007937         0.885081         0.935037
             0.01             0.71              438              500                4               58         0.990950         0.883065         0.938000         0.007937         0.883065         0.933902
             0.01             0.72              434              500                4               62         0.990868         0.875000         0.934000         0.007937         0.875000         0.929336
             0.01             0.73              428              501                3               68         0.993039         0.862903         0.929000         0.005952         0.862903         0.923409
             0.01             0.74              428              502                2               68         0.995349         0.862903         0.930000         0.003968         0.862903         0.924406
